Presenter_SK,Obtained,EventDate,EventTime,Passed,ZiffNumber,Firstname,Middlename,Surname,Day,Temperature,PetType,CoffeeType
2760,Yes,09-08-1983,22:19:27,FALSE,1.334,APII,,KINDLEN-CHEUNG,Thurs,45.3,Giraffe,Dark
2761,,02-04-1994,17:54:37,FALSE,1.953,AILISHA,HYOJEONG,ELY,Fri,1,Cat,Milk
2762,,30-11-1986,1:45:10,FALSE,1.73,AMY-MARIE,TAIT,ABDULLAHI ALINUR,Fri,11.8,Giraffe,Roasted
2763,,22-05-2018,11:06:50,TRUE,1.794,JACQUELIN,,MIHALJEVIC - ZELJKO,Monday,44.4,,Roasted
2764,,12-10-1986,4:38:32,TRUE,,CHEYNE,NYDIA,GEEHMAN,Sun,39.1,Snail,Dark
2765,,29-04-1994,9:09:45,TRUE,1.095,FADHEL,,MCLAUGHLIN-BROWN,Tuesday,8.5,Giraffe,Milk
2766,,,10:47:47,TRUE,1.432,ANDRIS,,TASKAS,Wed,24.3,Dog,Dark
2767,,03-07-2018,1:43:46,FALSE,,TWYNAM,,BASABWA,Thurs,42.1,Snail,Dark
2768,,26-05-2012,,TRUE,1.538,KIYA,,KIRAN,Sat,-0.7,,Roasted
2769,No,18-05-2019,16:51:53,TRUE,1.247,ZALEAH,PIRINI,MISIEWICZ,Fri,24.5,Cat,Dark
2770,,19-03-2001,20:54:08,TRUE,1.285,BROOKLYN,,COUCHE,Thurs,38.7,Cat,Dark
2771,,13-12-2006,7:51:34,FALSE,1.149,SPYRIDON,,ROSCA,Sun,24,Dog,Medium
2772,,15-02-1990,12:49:48,FALSE,1.506,BHIM,IANG,VAN PAMELEN,Monday,0.7,Snail,Dark
2773,Yes,07-06-1985,1:20:07,TRUE,1.629,BROWNIE,CENSADINE,IRLAM HOWARTH,Sat,-2.6,Dog,Medium
2774,,02-01-2006,11:45:58,TRUE,1.813,BEGAM,TIALI,PENTREATH,Wed,32.9,,Medium
2775,,14-07-2020,23:31:52,TRUE,1.514,ELLAYNE,,LOVEGROVE-LARSEN,Thurs,37.2,Giraffe,Roasted
2776,,19-09-2005,14:43:48,TRUE,1.207,BRIJESH,BENGI,PEMBSHAW,Fri,19.8,Cat,Roasted
2777,,08-04-1997,10:08:12,FALSE,1.433,BILLIELEIGH,,ROWSTON,Wed,1.1,Elephant,Medium
2778,,08-07-2019,8:40:51,TRUE,1.851,TERENCE,CHYE-RAY,JABINAL,Wed,7.5,Snail,Dark
2779,No,27-10-2000,,TRUE,1.509,MINWOO,,MADDEN,Monday,-1.1,,Medium
2780,,26-09-1991,17:05:45,TRUE,1.398,DAJANA,,ELLIS-DAVIS,Fri,31.9,Elephant,Medium
2781,,27-09-2003,19:01:34,TRUE,1.086,NATHON,JAILLEN,PARE,Thurs,29.1,Giraffe,Dark
2782,Yes,03-10-1995,21:31:54,TRUE,1.183,MEHRAN,NHU,BENNETTA-WILLIAMS,Wed,20.2,,Milk
2783,,07-09-1994,11:18:58,TRUE,1.74,XAQUIN,,DENNENY,Tuesday,26.3,Snail,Milk
2784,Yes,21-03-2016,1:13:11,FALSE,1.597,BAYAN,,HODGSKIN,Wed,35,,Milk
2785,Yes,21-11-2014,17:42:37,,1.293,LACHLANN,,ORTALIZ,Wed,6.9,Snail,Milk
2786,,01-06-1982,,FALSE,1.772,NYONUEN,TAIHEN,MAJELLANO,Fri,41.2,Elephant,Medium
2787,,13-08-2014,2:51:39,FALSE,1.437,TIARRI,,ROKA,Tuesday,5.6,Elephant,Medium
2788,,07-08-2019,9:31:17,TRUE,,KRUNAL,,ABI-FARRAJ,Fri,17,,Roasted
2789,No,06-06-2015,23:35:42,FALSE,1.895,AZRAEL,,KANAYAMA,Wed,17.7,Dog,Medium
2790,,11-02-2009,2:33:17,FALSE,1.891,MELQUISEDEC,,WILSHIRE,Thurs,28,Giraffe,Dark
2791,No,,22:22:42,FALSE,,MARGRAIT,,JANSEN-BATCHELOR,Wed,27.6,Elephant,Dark
2792,,11-02-2014,,FALSE,1.519,KISHANKUMAR,,SEELY,Thurs,21.9,Giraffe,Roasted
2793,,20-11-2011,3:05:05,TRUE,1.316,CHRISTIANO,ZHIHUI,TITARO,Thurs,38.3,Snail,Milk
2794,,28-12-1986,20:45:30,TRUE,1.965,ANNECE,MANSIB,GUNN-MARWICK,Thurs,31.3,Giraffe,Milk
2795,Yes,29-08-2006,11:35:14,TRUE,1.616,TAI'LEE,,NANAYAKKARA,Wed,45.1,Cat,Medium
2796,No,09-06-1990,10:22:16,FALSE,1.769,MUNIM,ALLIRA,CHLOUPEK,Sun,18,Giraffe,Roasted
2797,,26-04-1994,10:28:24,TRUE,,KIRSTINE,,KALIVACI,Wed,-0.8,,Medium
2798,,,9:50:14,FALSE,1.114,BJORN,KHTAYA,MARRINER,Sat,20.3,,Roasted
2799,,21-01-1982,7:49:54,FALSE,1.35,RUN,,KRUNIC,Monday,44.8,,Milk
2800,Yes,01-04-2016,2:09:51,TRUE,,PAI,NIMRADHI,GROSSMAN,Fri,18.9,,Medium
2801,No,17-07-2009,4:53:33,FALSE,1.434,KERMUL,,GINIOTIS,Fri,11.7,Dog,Roasted
2802,No,11-01-1997,,,1.365,YI-CHENG,,ZAGOTSIS,Sun,28.7,Dog,Roasted
2803,No,09-08-1991,18:05:00,TRUE,1.331,PIYUSH,,KAWAKAMI,Sat,20.2,Dog,Milk
2804,No,18-02-2016,7:14:38,TRUE,1.882,SHIKARA,PETIE,AVILES,Fri,20,Giraffe,Milk
2805,No,19-07-2007,19:10:33,TRUE,1.249,JESSI-JADE,,STAMATION,Wed,5.3,Elephant,Medium
2806,,28-06-2000,0:25:55,TRUE,1.185,ABDALLAH,DREWER,THORNHILL,Monday,43.3,,Milk
2807,,02-11-1989,15:11:25,TRUE,1.98,R.L.,,DOBOSZ,Tuesday,-1.6,Giraffe,Milk
2808,No,24-09-1987,,FALSE,1.14,YUELAN,JERELENE,AKMAD,Thurs,3.2,Giraffe,Milk
2809,,09-05-2001,16:32:39,FALSE,1.977,DEVARAJ,,SECKER,Wed,23.9,Dog,Dark
2810,,11-12-1989,20:24:55,TRUE,1.236,PRAVEER,,WEETRA-HART,Sun,10.8,Giraffe,Milk
2811,,01-02-2008,,FALSE,1.672,MIHIARANGI,KERMUL,WILTON COULTHARD,Sun,28.1,Snail,Roasted
2812,Yes,18-05-1997,19:06:29,FALSE,,DESTANIE,MAKYAHA,EDMEADES,Wed,3.2,Giraffe,Dark
2813,,01-02-1999,14:43:27,TRUE,,MIREAD,,LUST,Sun,13.5,Elephant,Milk
2814,,20-09-1993,17:51:25,TRUE,1.827,YANZU,SANGHA,KARCZYNSKI,Fri,36.7,Snail,Roasted
2815,No,02-02-2009,19:42:38,FALSE,1.287,TAKIRRA,ACIS,PINDER,Sat,31.7,Cat,
2816,Yes,24-04-2001,20:02:38,TRUE,1.054,ZACKARIH,NOLEN,ALJUBOORE,Wed,41.6,Dog,Milk
2817,,20-02-2002,21:54:18,FALSE,1.821,BAMAN,,TAHENY HAINES,Monday,15.9,Snail,Medium
2818,,09-02-1985,7:22:30,TRUE,1.081,FLORA,AVELEEN,GALE-WILLIAMS,Monday,22.7,Elephant,Roasted
2819,,,0:51:40,FALSE,1.787,K,NAWFAL,HOBIN,Sat,31.8,Giraffe,Dark
2820,No,10-02-2001,21:18:47,,1.173,SAILOSI,KULOMBA,HERON,Fri,6.1,,Dark
2821,No,09-03-1993,10:47:41,FALSE,1.031,MELAINIA,MALVIE,COLLINS/DALY,Thurs,33.6,Elephant,
2822,,01-05-1985,,,1.145,ERBEN,QUOC-NAM,LUDLAM,Fri,40.1,Elephant,Medium
2823,,,1:50:29,TRUE,1.182,WENDY-MAREE,DEINA,VANOEVELEN,Wed,30.2,Giraffe,Roasted
2824,Yes,29-06-1992,1:36:26,TRUE,,WILLOUGHBY,SHIVERA,KROMBHOLZ,Tuesday,35.9,Dog,Roasted
2825,Yes,18-03-2020,1:14:58,FALSE,1.844,RISMINA,K-LACHELLE,BIRCHMORE,Tuesday,39.3,Elephant,
2826,,,5:37:00,FALSE,1.417,NOELENE,ELLE-MAE,TAK,Monday,40.1,Elephant,Roasted
2827,,28-01-1989,,TRUE,1.336,NOR,,VENN,Fri,33.7,,Roasted
2828,No,30-01-1981,10:14:29,FALSE,1.029,ARRABELL,,NUR ALAM,Sat,28.3,,Milk
2829,,,0:29:53,TRUE,1.028,MARZIA,MARNETTE,SHAPLEY,Sat,11,Giraffe,Roasted
2830,No,,14:45:43,FALSE,1.563,RIOBOCA,,MAKHOBA,Fri,10.2,Elephant,Roasted
2831,,26-06-2003,13:13:25,TRUE,,FAMATFA,SHAWANNA,TO CHONG,Monday,23,Giraffe,Milk
2832,No,22-09-1994,7:03:05,TRUE,,GIULIAN,LOCKWOOD,TREDINNICK,Tuesday,14.7,Cat,Roasted
2833,No,03-07-1995,18:17:05,TRUE,1.005,JIANI,,PHIAMPU,Sun,33.5,Cat,Dark
2834,,19-03-1980,17:37:15,,,ELENA-JADE,SAIM,WOODFORDE,Fri,18.2,Dog,Roasted
2835,,19-09-2008,3:20:17,,1.249,FATOUMATA,,LAYUGAN,Monday,23.1,,Dark
2836,,01-03-1993,6:22:47,TRUE,1.396,ISHMALE,,SIDIBAY,Sat,35.6,,Medium
2837,Yes,25-02-2013,21:18:56,FALSE,,EMLYN,,BOSLAND,Sun,11.3,Giraffe,Medium
2838,No,12-04-1994,17:48:44,TRUE,1.453,DRUMMON,,INAT,Tuesday,16.8,Snail,Roasted
2839,,15-08-1998,2:23:46,FALSE,1.498,JEONGYEON,WEERAWITCH,MONGAR,Sat,25.8,Dog,Dark
2840,,25-01-2018,18:47:56,,1.231,TRISHA,JOAS,OTTEN,Sun,44.6,Cat,Dark
2841,,10-12-1996,3:53:19,TRUE,1.879,MAY LEE,NIKOLETT,AL-SIGAR,Monday,10,,Dark
2842,Yes,,8:08:13,FALSE,,FELOPATIR,,BOHILL,Wed,24.8,Cat,Milk
2843,,11-08-2000,2:53:53,FALSE,1.865,MATIJEVIC,LUANNA,WHYTE- DOUGLAS,Thurs,6.3,Cat,Medium
2844,,14-03-1987,0:17:53,TRUE,1.3,ARTHEMON,,AZAD,Wed,24.6,Elephant,Milk
2845,,23-05-1981,9:54:12,FALSE,1.661,MOHADESEH,,MOCKETT,Monday,27.4,Elephant,Roasted
2846,,12-04-2001,0:06:19,FALSE,1.478,HANANIA,,MOHAIS,Sun,10.7,Elephant,Milk
2847,Yes,27-04-2020,20:48:22,FALSE,1.527,KAHLIAH,BETHANEE,UPRETI,Sun,17.5,Snail,Medium
2848,No,21-05-1993,13:48:38,TRUE,1.174,AMARPREET,MEGGIANI,GUINAN,Tuesday,21.9,Cat,Dark
2849,,20-01-1982,6:48:54,FALSE,1.861,DIYA,ACEIA,TORSNEY,Sat,-2.8,Cat,Roasted
2850,,19-06-1994,17:27:52,TRUE,1.713,TRIZHA,JASREEN,GJONDREKAJ,Sat,10,Elephant,Medium
2851,Yes,04-02-2019,18:50:53,,1.625,DEL,MIRADIJA,BUENO HERNANDEZ,Fri,-2.8,Snail,Milk
2852,,15-02-1989,9:44:43,FALSE,1.151,KAYDYN,BOAZ,TASNIM,Sun,38.5,Cat,Milk
2853,,15-11-2018,1:16:55,TRUE,,ODWA,FILZA,KONOSHCHUK TOLLEY,Tuesday,11.6,Cat,Roasted
2854,No,12-12-2011,9:48:55,TRUE,,FADHILI,INDU,KANJA,Monday,9.8,Dog,Milk
2855,,08-12-2008,9:58:59,TRUE,1.116,MASE,,CHADA,Sat,24.8,Snail,Milk
2856,,31-12-2018,19:43:37,TRUE,1.107,INZAH,GUOZHEN,MASTERS-KANN,Fri,14,Cat,Medium
2857,,12-09-1983,13:47:09,TRUE,1.742,TANIISH,,OLWENY,Wed,26.7,Cat,Milk
2858,Yes,02-11-1985,3:44:47,FALSE,,MAHLAH,ANNUSHKA,IZZATUNNISA,Sun,34.1,Cat,Roasted
2859,No,26-06-2018,4:26:35,FALSE,1.946,AJENG,,HUSSEIN MOHAMED,Thurs,12.9,Dog,Milk
2860,,25-05-1988,5:50:44,FALSE,1.691,NANDHITHA,INSHAAF,FILSELL,Tuesday,-0.2,Elephant,Dark
2861,No,09-01-1983,9:21:27,TRUE,1.641,ELMER,KAHYLA,GRAY-MILLS,Tuesday,17.8,Snail,Roasted
2862,,06-05-2001,16:05:35,TRUE,1.498,KOULA,BINET,CZORA,Fri,-1,,Milk
2863,,02-07-1993,,FALSE,1.616,WILLOH,NASIM,STUCK,Thurs,17.6,Snail,Milk
2864,No,19-06-1981,3:50:43,FALSE,1.621,NITEEKA,,IRANDETUREYE,Sat,2.4,Giraffe,Dark
2865,,28-04-1982,6:11:09,TRUE,,NOBEL,,ABEYSEKERA,Monday,12.9,Dog,Dark
2866,No,,4:30:56,TRUE,1.334,TONY JASON,,YESHITELA,Sat,34.8,Cat,Roasted
2867,No,09-09-2020,3:37:57,TRUE,1.049,YILUM,,WILDY,Tuesday,39.8,,Roasted
2868,,,,FALSE,1.093,HAHESY,,DHARMAWAN,Wed,-0.6,,Medium
2869,,10-10-2016,18:59:43,FALSE,1.76,JADE-LOUISE,HAIRIS,RICHARDSON-COOTE,Sun,34.3,Snail,Roasted
2870,Yes,21-11-2009,,TRUE,1.424,ROISIN,YUHAN,NGUYEN OID,Sat,15.9,,Milk
2871,Yes,16-02-2008,11:55:48,FALSE,1.98,KENYA,ISIRI,TEFERA,Thurs,1.5,Dog,Milk
2872,,29-12-1988,,FALSE,,R-JAY,KISTEND,NIYIHUMURIZA,Sun,31.5,Cat,Milk
2873,,05-05-2017,4:46:06,TRUE,1.364,ILTAF,,SUMAN,Sun,9.9,Cat,Dark
2874,No,11-09-2008,14:04:47,FALSE,1.451,TIRESE,,KELLWICK YUPANQUI,Sat,42.5,Dog,Roasted
2875,,21-09-2016,17:36:22,TRUE,1.709,JANYA,,DAICOS,Tuesday,44.7,,Roasted
2876,Yes,09-09-1986,2:29:59,FALSE,1.26,BLENNERHASSE,,SEITH,Thurs,31.7,Giraffe,Medium
2877,No,19-07-2016,,TRUE,1.172,ANGAP,OBERER,WALTHO,Wed,35.3,Dog,Milk
2878,No,22-10-2019,16:47:45,TRUE,1.485,DEZMAN,,DUERING,Fri,5.5,Giraffe,Milk
2879,No,23-05-2013,10:57:06,FALSE,1.662,SHYMIKAR,GIOVANNANGELO,GIGOVIC,Tuesday,33.5,Cat,Milk
2880,,05-03-2008,7:51:34,TRUE,1.143,AQAINUS,,SAEBE,Monday,-3.2,Giraffe,Dark
2881,,19-04-2012,16:02:33,FALSE,1.926,JURISTSAR,,IERACI,Fri,40.8,Elephant,Milk
2882,,,10:58:49,FALSE,1.832,LINHAI,HARLO,SAMBALE,Tuesday,14.2,Giraffe,Medium
2883,,28-08-1999,5:43:19,FALSE,1.691,IGLIMA,KINZA,SPAKIANOS,Monday,32,Snail,Medium
2884,No,11-05-1993,14:35:32,FALSE,,AMIN,,EVERY,Monday,1.5,Giraffe,Dark
2885,,09-04-2015,,FALSE,1.721,JOSHUWIN,KRISHAN,NABABAN,Thurs,39.7,Dog,Dark
2886,No,22-09-1982,15:26:53,FALSE,1.471,ROMANNI,ROBERT-ASHLEY,KOKIOUSIS,Sun,37.5,Giraffe,Roasted
2887,No,30-08-2015,16:13:16,TRUE,1.538,AKII,SOHYUN,MAXWORTH,Sat,23.8,Cat,Roasted
2888,,30-08-2007,17:52:26,TRUE,1.046,SAHAM,,KOSCHADE,Monday,33.1,Dog,Milk
2889,,04-05-2013,17:10:39,FALSE,,TRAM,,MCBURNIE,Thurs,22.4,Elephant,Dark
2890,No,22-07-2004,8:15:23,FALSE,1.352,TIAM,TARHLIA,GATER,Wed,11.7,,Medium
2891,Yes,16-03-1986,16:15:00,TRUE,1.386,KYFFIN,BEBEE,MILOSEVIC,Monday,24.1,Giraffe,Dark
2892,Yes,29-01-1989,,FALSE,1.111,DIPESH,ANDORRA,BRIDGES-MISKIN,Wed,0.2,Cat,Roasted
2893,,20-09-1989,7:36:38,FALSE,1.261,TALIA.,CATHERINA,CHORN,Monday,42.8,Giraffe,Roasted
2894,No,05-11-1986,12:34:06,FALSE,1.976,GRAYSON,,TOBI,Thurs,26,,Milk
2895,,04-08-1986,6:01:57,FALSE,,CHANIDU,,SCHELLEN-HASTIE,Wed,6,Snail,Roasted
2896,,13-07-2012,4:47:51,TRUE,1.427,DACHLAN,,LINCKERS,Sat,25.3,,Medium
2897,No,23-02-2006,11:12:06,FALSE,1.185,YOUHAN,,CHERRINGTON,Sun,39,,Dark
2898,,19-02-2008,16:36:35,FALSE,1.553,KYARA,DENCEL,HUBNER,Monday,-0.9,Elephant,Medium
2899,,29-08-1997,2:24:04,TRUE,1.943,PRANJAL,SENGA,ULSETH,Wed,14.6,Cat,Roasted
2900,,05-04-1983,9:07:31,FALSE,1.389,BEVAN,,MOSELEY-LONG,Monday,35.1,,Dark
2901,Yes,06-12-2015,,FALSE,1.05,JAYOM,,ATKINS TAVERNER,Thurs,40.9,Dog,Dark
2902,,01-01-1985,16:15:03,FALSE,1.258,CHUC,,CUSTANCE,Sat,39.1,Elephant,Medium
2903,,01-02-1998,22:15:24,FALSE,1.063,NU ODOI,RANUL,WILTON GERTNERS,Sun,16.2,Elephant,Dark
2904,,13-09-1993,14:04:26,TRUE,1.93,CRANFIELD,KARION,QUARISA,Wed,45.3,Elephant,Roasted
2905,,25-06-2011,18:26:33,TRUE,1.261,JULIANA,BENNETT,POTIUCH,Sat,12.7,Giraffe,Dark
2906,,20-03-2009,17:53:58,,1.139,OAKEY,PETER-DEAN,FRONSKO,Thurs,-2.3,Elephant,Milk
2907,,15-01-1984,12:14:28,FALSE,1.393,TJAY,BASANTA,LIEVRE,Tuesday,26.5,Giraffe,Dark
2908,No,08-05-2000,17:34:59,FALSE,1.695,TILBROOK,JOZZIE,TSE,Wed,42.1,,Roasted
2909,No,20-10-1989,20:10:07,FALSE,,WILLOH,ZHANGJINGLIN,HALES,Monday,10.5,Snail,Milk
2910,No,04-08-2008,,,1.799,MOLLAIDH,PATRIZIO,RANDER,Tuesday,5.3,Snail,Milk
2911,,21-01-2005,18:26:26,FALSE,1.066,XIAOCHEN,WEDHITHA,TSAMBARLIS,Wed,37.5,Elephant,Dark
2912,Yes,,9:05:26,FALSE,1.24,CLOEY,,MAZID ABHARI,Sat,35.8,Dog,Roasted
2913,Yes,17-05-2005,23:38:38,TRUE,1.311,KAYLEM,,BRITON-JONES,Fri,6.8,Giraffe,Medium
2914,,16-10-2006,21:22:53,FALSE,1.538,BEAUDINE,PABITRA,RODGERS,Sat,3.5,Elephant,Medium
2915,,18-06-1998,19:00:15,FALSE,1.896,MCKELLAR,ALAC,ACKERLY-DEVITT,Tuesday,17.9,Elephant,Dark
2916,,17-07-2013,,FALSE,1.636,ILAYDA,FAQEED,OLDACRES-DEAR,Monday,32.6,Giraffe,Medium
2917,No,31-08-1999,15:06:42,FALSE,1.579,HUGH,JONES,ARCHBOLD,Wed,3.4,,Dark
2918,,08-07-1989,8:47:57,FALSE,1.8,FAZILI,MARY-LOUISE,CHIVELL,Sat,12.8,Giraffe,Medium
2919,,30-07-2018,,,1.855,YUSEN,ROIZEL,LAPSLEY-FORREST,Thurs,23.1,Elephant,Medium
2920,,27-06-2018,0:58:51,FALSE,1.964,ELSTREE,,RANGITOHERIRI,Tuesday,8.1,Giraffe,Medium
2921,,26-10-2001,17:06:44,TRUE,1.089,ARJEN,,DHABADE,Sat,10.3,Cat,Dark
2922,No,,20:53:14,FALSE,1.003,JOS,,MURGATROYD,Tuesday,3.2,Dog,Dark
2923,,10-03-2020,21:38:08,FALSE,1.792,YUNA,HUNTER,,Wed,36.4,,Dark
2924,No,18-11-2010,1:22:54,FALSE,1.57,MARDI,,CLARIDGE BELL,Tuesday,-1.9,Snail,Milk
2925,,13-01-1984,4:00:19,FALSE,,EMAI,,BARBUTO,Tuesday,11.8,,Medium
2926,,30-10-2017,1:52:37,TRUE,1.699,NORMAJEEN,,ZACKER-FORDER,Monday,2.2,Giraffe,Medium
2927,,15-01-2004,12:21:37,FALSE,1.759,LAILUMA,ADALIA,GRUNDLER,Fri,36.8,,Medium
2928,,03-10-2016,11:12:48,TRUE,1.26,BATHOL,SEUNG,HARVEY- RIGNEY,Sat,14.1,Giraffe,Medium
2929,,22-02-2018,8:53:13,FALSE,1.742,GREGORIO,,FORTH,Thurs,38.7,,Medium
2930,,26-10-1990,7:31:24,TRUE,1.52,NIDAL,,AL-BUSI,Sun,19.7,Cat,Medium
2931,,25-01-2004,22:53:32,FALSE,1.719,LAIDLEY,LAYTH,PAWELSKI-LEACH,Wed,34.3,,Dark
2932,,20-08-1995,8:37:48,TRUE,1.281,HUSAIN,RAHMAH,FAVAS,Fri,7.2,Elephant,
2933,,17-07-1994,8:11:59,FALSE,,KYLEB,,CHUPRINOV,Thurs,18.2,,Roasted
2934,,28-04-1989,20:48:32,FALSE,1.209,SETAYESH,DRIMATIS,KORNAAT,Sun,8.2,,Dark
2935,Yes,,14:42:48,FALSE,1.574,CLOUDIE,,CHIKANDIWA,Sun,-2.2,,Medium
2936,,13-10-1998,20:44:41,TRUE,1.914,KANTHIDA,SHERITA,JAFF,Fri,-0.4,Cat,Milk
2937,No,05-04-1981,7:25:32,FALSE,1.342,ALEXANDER,,VEEN,Fri,15.9,Dog,Milk
2938,,12-07-2018,15:20:43,TRUE,1.667,BATSHEBA,,BONYTHON,Wed,30.5,Dog,Roasted
2939,,26-06-2017,13:44:45,TRUE,,AAMI,DHANBIR,HOTAK,Fri,2.9,Cat,Dark
2940,,02-09-1982,20:19:08,TRUE,1.229,KIRRALY,,DELLANEY,Tuesday,25.3,Giraffe,Medium
2941,,04-05-1986,5:49:35,TRUE,1.937,ARMAND,KOLEH,ROWBERRY,Monday,-1.5,Elephant,Dark
2942,No,15-06-1990,18:16:49,FALSE,1.811,REBECCA,,WILSON-MEERWALD,Thurs,14.3,Snail,Roasted
2943,,28-12-1982,5:59:46,FALSE,1.159,COLIQUE,,HURLOW,Monday,21.7,Snail,Dark
2944,,07-11-1998,3:00:39,FALSE,1.426,GLADIS,SHARMANE,ORSINI,Sun,29.8,Elephant,Dark
2945,,06-10-1997,0:35:34,TRUE,1.675,KESHARA,SABRIN,KARAPETIAN,Wed,17.2,Dog,Milk
2946,,15-01-1997,11:00:32,FALSE,1.482,IZAYA-JAMES,,NAIBAHO,Sun,25.9,Snail,Medium
2947,Yes,25-09-1983,15:10:49,TRUE,1.326,LASCHAYE,GORDAN,CASH BLAKELEY,Thurs,13.4,Elephant,Roasted
2948,Yes,12-11-1992,8:23:55,TRUE,1.779,PARK,,FORD-SMITH,Fri,22.6,,Medium
2949,,22-03-2001,23:33:32,FALSE,1.479,JALIL,,FRANSISKUS,Tuesday,36.6,Snail,Milk
2950,Yes,21-10-1980,13:07:07,TRUE,1.252,KEELY-RAE,DEE-ANNE,BIGIRUMURE,Sun,32.4,Giraffe,Roasted
2951,,18-08-2006,,FALSE,1.059,ROARKE,,TSALIKIS,Wed,33.2,,Milk
2952,,21-07-1986,3:39:40,TRUE,1.051,AAYUSHI,,BERENS,Fri,37.1,Dog,Roasted
2953,,24-11-2010,10:29:12,TRUE,1.481,ATTICUS,HAI,CHESTER-CAMPBELL,Sat,0.1,Dog,Dark
2954,,12-04-2008,17:14:02,FALSE,1.732,CARRINGTON,FLOR,HAVELBERG,Thurs,43,Dog,Milk
2955,,24-05-2002,5:01:55,TRUE,1.251,MERILYN,ATILLIA,BURCHNALL,Fri,23.3,Cat,Medium
2956,Yes,01-10-1993,13:32:44,FALSE,1.886,NIKKI,KHOI,BARING,Wed,0.5,Cat,Dark
2957,,15-11-1985,13:01:55,TRUE,1.991,PERSIOH,,KNELIAS,Monday,35.2,Cat,Roasted
2958,No,22-12-1994,1:23:30,FALSE,,ELLIE-MAY,TAMINKA,BENDON,Tuesday,9.3,Giraffe,Milk
2959,No,25-12-2005,10:40:52,FALSE,1.281,TARRYN,MARDI,DONNELLY-YOUNG,Thurs,38.1,,Dark
2960,No,09-06-1999,19:46:03,FALSE,1.849,SOKH,CARIERAH,SATURNO,Tuesday,25.9,Dog,Medium
2961,Yes,19-06-1995,7:13:31,FALSE,1.412,URIA,TAIHEI,ALMADIACAHYA,Wed,19.2,,Dark
2962,No,22-07-1998,17:19:03,FALSE,,TEKOKORE,TARYN,WARD-STEVENS,Wed,23.9,Dog,Roasted
2963,,,10:30:04,FALSE,1.927,SAHTOYAH,BYAMBABAYAR,SCARBOROUGH,Wed,16.3,Elephant,Dark
2964,No,24-02-2011,12:50:10,,,TOWABECH,KINANTI,,Wed,5.9,Giraffe,Medium
2965,,25-12-2002,17:08:19,TRUE,1.019,ASHER,,KENNEDY-BRYSON,Monday,1.3,,Milk
2966,Yes,05-01-2017,16:36:22,TRUE,1.719,SATTA,VIVIANNA,NDAYIKENGURUKIYE,Thurs,7.9,Elephant,Milk
2967,,18-05-1986,23:19:02,TRUE,1.452,TROTSCHLER,,ZAHAN,Tuesday,17.9,Elephant,Milk
2968,,04-11-2014,23:13:14,TRUE,1.915,WHMIHARO,HADLEY,MINNS,Sun,29.2,Cat,Milk
2969,Yes,23-04-2014,10:58:43,FALSE,1.202,RAHULLAH,AYSAN,HONNER,Thurs,12,Dog,Milk
2970,Yes,16-02-2007,18:22:41,TRUE,1.496,JOHN ALAN,,TURNBULL,Monday,20.7,,Roasted
2971,Yes,06-04-2009,23:09:14,FALSE,1.453,INDIA-VICTORIA,,DELEON,Monday,6.1,Snail,Dark
2972,No,25-12-2007,7:11:46,TRUE,1.362,YUDHISTHIR,,PANIGYRIS,Wed,27.5,Snail,Roasted
2973,,05-01-1994,3:51:19,TRUE,1.749,RAYIAN,,SOUZA PRADO,Fri,36.8,Cat,Dark
2974,Yes,20-10-1988,11:30:00,,1.52,TARKAI,,STYAN,Fri,20.1,Giraffe,Medium
2975,,19-08-1983,,FALSE,1.182,KESH,,LIAN CHING,Wed,41,Dog,Medium
2976,Yes,13-05-1984,,FALSE,1.522,MENGDIE,,SHAH-HORDER,Sun,6.4,,Roasted
2977,Yes,10-01-1989,7:07:30,FALSE,1.354,BRAHE,,LITTLECHILD,Sun,14.2,Dog,Medium
2978,,15-05-1983,11:20:12,TRUE,,KYLEN,HAOZHE,GRILLI,Monday,10.1,Dog,Roasted
2979,No,,,TRUE,1.449,NATHANUEL,,RAILEY,Monday,43.3,,Medium
2980,,30-08-2010,6:26:00,TRUE,1.038,THOMSON,ALMEDIN,MAGUIRE,Tuesday,37.2,Cat,Dark
2981,,16-11-1980,21:06:36,FALSE,,CHENJIANG,,COTTERILL,Sat,36.9,Giraffe,Milk
2982,,,6:19:27,TRUE,1.409,JAZAIA,CHUONG,KURTZ,Fri,8.9,,Roasted
2983,,29-05-2009,19:34:32,FALSE,1.611,SANAA,,DANAO,Wed,5.2,Snail,Roasted
2984,,01-06-2009,11:16:34,,1.869,ERICA,MINSEOK,REWELL,Sat,35,Dog,Roasted
2985,,12-01-2007,16:37:40,TRUE,1.68,SHARNIQUAH,TILAK,HASSARATI-DIAKAKIS,Thurs,44.5,Elephant,Dark
2986,Yes,05-04-1994,,,1.481,PENWELL,,ALLEN PERRY,Wed,-3.2,Cat,Dark
2987,,29-11-1991,,TRUE,1.875,NADYNE,GANGYUN,DAFNEROS,Wed,26.3,,Dark
2988,Yes,24-01-2008,16:44:20,TRUE,1.707,MARINKO,PEERS,LYELL-KAAHO,Wed,16.6,,Milk
2989,Yes,25-04-1985,6:12:28,FALSE,1.281,JUHITH,,LARTER,Sat,3.3,Cat,Roasted
2990,No,01-07-2013,15:36:09,TRUE,1.829,VALERINA,ANELLA,,Tuesday,4.3,Snail,Medium
